iter	Passed	Remaining
0	9	2983
1	27	4109
2	42	4240
3	52	3900
4	62	3713
5	71	3518
6	83	3501
7	102	3733
8	119	3854
9	133	3864
10	142	3731
11	151	3637
12	161	3563
13	171	3513
14	182	3473
15	191	3402
16	200	3344
17	210	3296
18	220	3262
19	230	3220
20	239	3185
21	248	3137
22	258	3107
23	270	3106
24	298	3279
25	307	3239
26	316	3198
27	324	3154
28	333	3119
29	343	3088
30	352	3054
31	360	3021
32	370	2994
33	378	2962
34	387	2932
35	397	2916
36	405	2885
37	414	2857
38	423	2836
39	443	2883
40	454	2868
41	463	2848
42	473	2829
43	481	2803
44	491	2785
45	508	2805
46	519	2796
47	528	2773
48	545	2791
49	554	2774
50	569	2780
51	578	2758
52	590	2751
53	601	2741
54	613	2733
55	622	2712
56	635	2710
57	648	2704
58	663	2708
59	679	2716
60	691	2709
61	701	2692
62	726	2731
63	735	2711
64	744	2690
65	754	2673
66	762	2651
67	771	2631
68	780	2613
69	790	2596
70	799	2577
71	812	2571
72	826	2571
73	836	2554
74	845	2536
75	854	2518
76	863	2499
77	872	2484
78	881	2465
79	891	2452
80	902	2439
81	912	2427
82	922	2411
83	934	2402
84	943	2386
85	951	2368
86	961	2354
87	976	2351
88	986	2338
89	995	2322
90	1004	2305
91	1012	2289
92	1038	2311
93	1047	2295
94	1057	2281
95	1065	2264
96	1076	2253
97	1086	2238
98	1094	2222
99	1102	2205
100	1111	2189
101	1119	2173
102	1131	2163
103	1140	2149
104	1149	2134
105	1158	2120
106	1168	2107
107	1183	2104
108	1193	2091
109	1203	2078
110	1212	2064
111	1221	2050
112	1230	2036
113	1240	2024
114	1252	2014
115	1260	1999
116	1276	1995
117	1285	1983
118	1296	1971
119	1305	1958
120	1314	1944
121	1323	1930
122	1332	1917
123	1340	1903
124	1350	1890
125	1359	1876
126	1367	1862
127	1376	1849
128	1382	1833
129	1391	1819
130	1399	1805
131	1409	1793
132	1419	1782
133	1428	1769
134	1437	1756
135	1445	1743
136	1454	1730
137	1463	1717
138	1471	1704
139	1479	1690
140	1488	1678
141	1498	1667
142	1508	1655
143	1517	1644
144	1526	1632
145	1540	1624
146	1552	1616
147	1561	1603
148	1577	1599
149	1586	1586
150	1612	1590
151	1623	1580
152	1642	1577
153	1654	1568
154	1671	1563
155	1679	1550
156	1687	1537
157	1697	1525
158	1707	1514
159	1718	1503
160	1728	1492
161	1739	1482
162	1748	1469
163	1758	1458
164	1767	1446
165	1775	1433
166	1785	1421
167	1793	1409
168	1802	1397
169	1811	1385
170	1822	1374
171	1830	1362
172	1839	1350
173	1847	1338
174	1856	1326
175	1865	1314
176	1874	1302
177	1882	1290
178	1891	1278
179	1899	1266
180	1907	1254
181	1916	1242
182	1925	1230
183	1933	1218
184	1942	1207
185	1955	1198
186	1964	1186
187	1972	1175
188	1981	1163
189	1992	1153
190	2001	1142
191	2011	1131
192	2019	1119
193	2027	1108
194	2036	1096
195	2045	1085
196	2056	1075
197	2065	1063
198	2075	1053
199	2092	1046
200	2111	1039
201	2119	1028
202	2133	1019
203	2149	1011
204	2167	1004
205	2189	998
206	2207	991
207	2226	984
208	2246	978
209	2256	967
210	2265	955
211	2274	944
212	2299	939
213	2323	933
214	2343	926
215	2357	916
216	2370	906
217	2379	894
218	2390	884
219	2400	872
220	2409	861
221	2420	850
222	2431	839
223	2440	828
224	2449	816
225	2458	805
226	2468	793
227	2478	782
228	2487	771
229	2498	760
230	2510	749
231	2523	739
232	2532	728
233	2539	716
234	2547	704
235	2555	693
236	2570	683
237	2583	673
238	2598	663
239	2612	653
240	2621	641
241	2643	633
242	2653	622
243	2666	611
244	2681	602
245	2692	591
246	2705	580
247	2718	570
248	2728	558
249	2737	547
250	2747	536
251	2757	525
252	2767	514
253	2777	502
254	2787	491
255	2796	480
256	2805	469
257	2814	458
258	2823	446
259	2834	436
260	2844	425
261	2852	413
262	2861	402
263	2870	391
264	2879	380
265	2888	369
266	2897	358
267	2905	346
268	2914	335
269	2922	324
270	2932	313
271	2942	302
272	2953	292
273	2962	281
274	2972	270
275	2983	259
276	2994	248
277	3005	237
278	3013	226
279	3023	215
280	3031	204
281	3040	194
282	3049	183
283	3057	172
284	3068	161
285	3079	150
286	3095	140
287	3112	129
288	3126	118
289	3138	108
290	3146	97
291	3155	86
292	3164	75
293	3172	64
294	3181	53
295	3191	43
296	3201	32
297	3209	21
298	3221	10
299	3231	0
